StudyID,Study,T,N,Mean,SD
230,"Miura et al., 2015",4,45,-5,5.7
230,"Miura et al., 2015",1,47,-0.4,5.83
231,"Ohkubo et al,. 2001",4,32,-6.2,8.43
231,"Ohkubo et al,. 2001",1,33,-6.8,8.84
232,"Okamoto et al., 2007 AT before RT",4,11,-4.7,7.25
232,"Okamoto et al., 2007 AT before RT",1,11,-1.5,6.19
233,"Okamoto et al., 2007 RT before AT",4,11,-2.8,8.62
233,"Okamoto et al., 2007 RT before AT",1,11,-1.5,6.19
234,"Park & Park, 2017 A",4,25,-1.5,4.04
234,"Park & Park, 2017 A",1,25,0.3,4.48
235,"Park & Park, 2017 B",4,21,-0.9,4.36
235,"Park & Park, 2017 B",1,20,0.1,3.79
236,"Park et al., 2020",4,10,-2.4,1.75
236,"Park et al., 2020",1,10,1.6,2.12
237,"Seo et al., 2011",4,10,-2.1,4.84
237,"Seo et al., 2011",1,10,0.2,6.08
238,"Shiotsu et al., 2018 AT before RT",4,15,-1.8,8.51
238,"Shiotsu et al., 2018 AT before RT",1,10,0,9.81
239,"Shiotsu et al., 2018 RT before AT",4,15,-5.6,9.15
239,"Shiotsu et al., 2018 RT before AT",1,10,0,9.81
240,"Siu et al., 2021",4,181,1.5,9.55
240,"Siu et al., 2021",1,181,0.8,9.97
241,"Son et al., 2017",4,10,-12,6.01
241,"Son et al., 2017",1,10,-2.5,5
242,"Stewart et al., 2005",4,51,-5.3,8.58
242,"Stewart et al., 2005",1,53,-4.4,6.38
243,"Tan et al., 2012",4,15,-9,11.54
243,"Tan et al., 2012",1,10,2,10.82
244,"Yen et al., 2019",4,34,-10.2,11.87
244,"Yen et al., 2019",1,38,-4.7,11.02
245,"Allen et al., 2017 HIIT",5,20,-2,9.85
245,"Allen et al., 2017 HIIT",1,14,1,12.65
246,"Allen et al., 2017 PIST",5,21,-3,7.81
246,"Allen et al., 2017 PIST",1,14,1,12.65
247,"Alvarez et al., 2016",5,14,-3,2.34
247,"Alvarez et al., 2016",1,14,1,2.34
248,Atan & Karavelioglu 2020,5,19,-6.89,23.63
248,Atan & Karavelioglu 2020,1,17,2.35,7.11
249,"Atashak et al., 2021",5,15,-6,2.41
249,"Atashak et al., 2021",1,15,1,2.41
250,"Bahmanbeglou et al., 2019 Long dur",5,10,-10,4.24
250,"Bahmanbeglou et al., 2019 Long dur",1,10,2,6.71
251,"Bahmanbeglou et al., 2019 Short dur",5,10,-10,5
251,"Bahmanbeglou et al., 2019 Short dur",1,10,2,6.71
252,"Blackwell et al., 2020",5,19,-4,10.09
252,"Blackwell et al., 2020",1,21,4,8.54
253,"Boutcher et al., 2019",5,20,3,10.21
253,"Boutcher et al., 2019",1,20,2,13.87
254,"Cassidy et al., 2015",5,12,-1,2.53
254,"Cassidy et al., 2015",1,11,-2,3.16
255,"Cassidy et al., 2019",5,11,1,3
255,"Cassidy et al., 2019",1,11,3,3
256,"Chidnok et al., 2020",5,11,1.2,7.08
256,"Chidnok et al., 2020",1,11,-0.1,8.23
257,"Chin. et al., 2020 1 p/w",5,35,-6,6.08
257,"Chin. et al., 2020 1 p/w",1,32.5,1,6.32
258,"Chin. et al., 2020 2 p/w",5,38.5,-10,7.92
258,"Chin. et al., 2020 2 p/w",1,32.5,1,6.32
259,"Chin. et al., 2020 3 p/w",5,35,-9,5.45
259,"Chin. et al., 2020 3 p/w",1,32.5,1,6.32
260,"Connolly et al., 2020",5,12,-1,10.48
260,"Connolly et al., 2020",1,12,3,13.3
261,"Edwards et al., 2021",5,21,-6.6,6.21
261,"Edwards et al., 2021",1,20,-1.2,6.6
262,"Engel et al., 2019",5,10,-8.6,9.18
262,"Engel et al., 2019",1,10,-1.2,11.24
263,"Garcia-Suarez et al., 2020",5,9,-1.2,10.24
263,"Garcia-Suarez et al., 2020",1,10,6.8,4.82
264,"Ghardashi Afousi et al., 2018",5,14,-16,10.89
