StudyID,Study,T,N,Mean,SD
55,"ODriscoll et al., 2018",5,20,-2.8,4.09
55,"ODriscoll et al., 2018",1,20,-0.7,3.99
56,"Chidnok et al., 2020",5,11,-7.3,3.48
56,"Chidnok et al., 2020",1,11,-2.1,6.62
57,"Edwards et al., 2021",5,21,-3.4,7.04
57,"Edwards et al., 2021",1,20,0,5.29
58,"Atashak et al., 2021",5,15,-2,1.26
58,"Atashak et al., 2021",1,15,0,1.9
59,"Connolly et al., 2020",5,12,0,6.71
59,"Connolly et al., 2020",1,12,0,6.71
60,"Kiel et al., 2018",5,8,-4,5.46
60,"Kiel et al., 2018",1,10,-4,6
61,"Gjellesvik et al., 2020",5,36,0,6.84
61,"Gjellesvik et al., 2020",1,34,-1,5.46
62,"Boutcher et al., 2019",5,20,2,6.65
62,"Boutcher et al., 2019",1,20,0,6.96
63,"Rustad et al., 2012",5,24,1,6.71
63,"Rustad et al., 2012",1,24,-3,6.32
64,"Cassidy et al., 2015",5,12,-1,1.26
64,"Cassidy et al., 2015",1,11,-4,1.26
65,"Hallsworth et al., 2015",5,11,3,7.81
65,"Hallsworth et al., 2015",1,12,-2,5.46
66,"Engel et al., 2019",5,10,-5.1,7.5
66,"Engel et al., 2019",1,10,-1.2,7.63
67,"Nytroen et al., 2012",5,24,2,6.08
67,"Nytroen et al., 2012",1,24,1,10.3
68,"Karstoft et al., 2013 ",5,12,-1,1.84
68,"Karstoft et al., 2013 ",1,8,0,1.84
69,"Ghardashi Afousi et al., 2018",5,14,-2,6.6
69,"Ghardashi Afousi et al., 2018",1,14,1,6.71
70,"May et al., 2018",5,30,-2,0.63
70,"May et al., 2018",1,30,1,0.63
71,"Sandstad et al., 2015",5,6,0,4.43
71,"Sandstad et al., 2015",1,6,0,6.32
72,"Alvarez et al., 2016",5,14,0,2.34
72,"Alvarez et al., 2016",1,14,1,2.34
73,"Baddeley-White et al., 2019 Isoball",6,7,-4.3,6.71
73,"Baddeley-White et al., 2019 Isoball",1,8,-0.3,5.74
74,"Baddeley-White et al., 2019 Zona",6,8,-5,5.4
74,"Baddeley-White et al., 2019 Zona",1,8,-0.3,5.74
75,"Badrov et al., 2013 A 3/pw",6,12,-3,4.22
75,"Badrov et al., 2013 A 3/pw",1,9,0,2.41
76,"Badrov et al., 2013 A 5/pw",6,11,0,4.24
76,"Badrov et al., 2013 A 5/pw",1,9,0,2.41
77,"Badrov et al., 2013 B",6,12,-5,5.46
77,"Badrov et al., 2013 B",1,12,1,8.44
78,"Baross et al., 2012",6,10,-1.6,4.46
78,"Baross et al., 2012",1,10,-0.1,6.24
79,"Baross et al., 2013",6,10,-2,4.43
79,"Baross et al., 2013",1,10,-0.1,11.06
80,"Cahu Rodrigues et al., 2019",6,48,-7,1.26
80,"Cahu Rodrigues et al., 2019",1,24,0,1.26
81,"Correia et al., 2020",6,50,-3,6.71
81,"Correia et al., 2020",1,52,0,6.96
82,"Decaux et al., 2021",6,10,-4.6,4.12
82,"Decaux et al., 2021",1,10,1,4.8
83,"Farah et al., 2018 Home",6,18,-2,8.03
83,"Farah et al., 2018 Home",1,16,0,5.06
84,"Farah et al., 2018 Supervised",6,14,-5,4.74
84,"Farah et al., 2018 Supervised",1,16,0,5.06
85,"Gordan et al., 2018 Home",6,5,-6.8,3.24
85,"Gordan et al., 2018 Home",1,9,-8.1,6.79
86,"Gordan et al., 2018 Lab",6,8,-2.8,5.63
86,"Gordan et al., 2018 Lab",1,9,-8.1,6.79
87,"Okamoto et al., 2020",6,11,-7,6.32
87,"Okamoto et al., 2020",1,11,0,4.84
